epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.56279,1.87878,3.69717,1.0783,0.00967,0.10175,0.00567,0.00251,1.55479,3.63075,0.99337,0,0,0
2,10.1236,2.16242,3.71567,1.06455,0.01333,0.14035,0.00851,0.0039,1.52868,3.61587,0.98297,1.9604e-05,1.9604e-05,1.9604e-05
3,14.3007,1.90627,3.7017,1.05251,0.025,0.26316,0.01608,0.00801,1.47731,3.58063,0.96624,3.8416e-05,3.8416e-05,3.8416e-05
4,18.2888,1.89811,3.63214,1.0223,0.04033,0.42456,0.0317,0.01708,1.39159,3.54029,0.94082,5.6436e-05,5.6436e-05,5.6436e-05
5,22.5568,1.7965,3.53043,1.013,0.05933,0.62456,0.05349,0.02891,1.34991,3.51062,0.92844,7.3664e-05,7.3664e-05,7.3664e-05
6,26.2614,1.72914,3.44579,0.96564,0.06567,0.69123,0.07376,0.03618,1.3734,3.49771,0.92333,9.01e-05,9.01e-05,9.01e-05
7,30.2289,1.50811,3.35272,0.92466,0.072,0.75789,0.08572,0.04131,1.46009,3.47742,0.92332,0.000105744,0.000105744,0.000105744
8,34.38,1.46484,3.15532,0.93387,0.07833,0.82456,0.10055,0.05021,1.51648,3.44364,0.91806,0.000120596,0.000120596,0.000120596
9,38.2828,1.44741,2.88761,0.93802,0.08267,0.87018,0.14005,0.06969,1.51337,3.40576,0.91159,0.000134656,0.000134656,0.000134656
10,42.5314,1.50271,2.80104,0.89596,0.08833,0.92982,0.14356,0.0734,1.48585,3.36881,0.90424,0.000147924,0.000147924,0.000147924
11,46.5413,1.51308,2.61751,0.87354,0.09233,0.97193,0.14765,0.08003,1.44987,3.32402,0.89759,0.0001604,0.0001604,0.0001604
12,50.7678,1.47675,2.36399,0.87902,0.09433,0.99298,0.15404,0.08625,1.41743,3.26548,0.88967,0.000172084,0.000172084,0.000172084
13,54.9404,1.47851,2.10266,0.86141,0.09467,0.99649,0.18253,0.10483,1.39438,3.20373,0.8849,0.000182976,0.000182976,0.000182976
14,62.0525,1.36849,1.7493,0.86026,0.09467,0.99649,0.42649,0.23747,1.37148,3.14096,0.88314,0.000193076,0.000193076,0.000193076
15,70.053,1.447,1.63293,0.86543,0.09467,0.99649,0.64766,0.34399,1.3403,3.06535,0.8794,0.000202384,0.000202384,0.000202384
16,76.385,1.3073,1.3818,0.85501,0.094,0.98947,0.83877,0.40836,1.33693,2.99068,0.87733,0.0002109,0.0002109,0.0002109
17,80.7914,1.315,1.18141,0.8624,0.09433,0.99298,0.92868,0.44463,1.33422,2.90423,0.87359,0.000218624,0.000218624,0.000218624
18,86.8701,1.30103,1.13039,0.86333,0.09433,0.99298,0.92868,0.44463,1.33422,2.90423,0.87359,0.000225556,0.000225556,0.000225556
19,90.9024,1.28225,1.12004,0.8506,0.91137,0.93805,0.95169,0.47445,1.30391,2.78788,0.86613,0.000231696,0.000231696,0.000231696
20,95.141,1.3044,1.03809,0.86755,0.91137,0.93805,0.95169,0.47445,1.30391,2.78788,0.86613,0.000237044,0.000237044,0.000237044
21,100.838,1.26397,1.03725,0.85888,0.96526,0.68253,0.96251,0.5351,1.2693,2.62981,0.85922,0.0002416,0.0002416,0.0002416
22,108.182,1.18628,0.97123,0.87873,0.96526,0.68253,0.96251,0.5351,1.2693,2.62981,0.85922,0.000245364,0.000245364,0.000245364
23,115.681,1.264,0.95442,0.8795,0.97691,0.5937,0.9615,0.58869,1.21722,2.4719,0.85561,0.000248336,0.000248336,0.000248336
24,123.118,1.27245,0.93086,0.88234,0.97691,0.5937,0.9615,0.58869,1.21722,2.4719,0.85561,0.000250516,0.000250516,0.000250516
25,130.931,1.22411,0.9688,0.86019,0.96639,0.70612,0.96272,0.60328,1.17466,2.33601,0.85141,0.000251904,0.000251904,0.000251904
26,138.101,1.17663,0.89341,0.86898,0.96639,0.70612,0.96272,0.60328,1.17466,2.33601,0.85141,0.0002525,0.0002525,0.0002525
27,145.442,1.09167,0.84335,0.87075,0.96499,0.77376,0.97783,0.61433,1.16691,2.19975,0.8531,0.000252304,0.000252304,0.000252304
28,151.679,1.25857,0.85001,0.8675,0.96499,0.77376,0.97783,0.61433,1.16691,2.19975,0.8531,0.000251316,0.000251316,0.000251316
29,156.448,1.22996,0.90393,0.86375,0.96506,0.77536,0.97834,0.59487,1.17686,2.09954,0.8562,0.000249536,0.000249536,0.000249536
30,160.458,1.1791,0.84194,0.86526,0.96506,0.77536,0.97834,0.59487,1.17686,2.09954,0.8562,0.000246964,0.000246964,0.000246964
31,164.471,1.08473,0.84212,0.85195,0.97747,0.76099,0.97707,0.54502,1.15529,2.02658,0.85545,0.0002436,0.0002436,0.0002436
32,168.208,1.15071,0.79344,0.86043,0.97747,0.76099,0.97707,0.54502,1.15529,2.02658,0.85545,0.000239444,0.000239444,0.000239444
33,172.682,1.29066,0.87206,0.85788,0.98079,0.71654,0.96408,0.51642,1.15019,1.97549,0.86092,0.000234496,0.000234496,0.000234496
34,176.619,1.1255,0.78655,0.84698,0.98079,0.71654,0.96408,0.51642,1.15019,1.97549,0.86092,0.000228756,0.000228756,0.000228756
35,180.977,1.13439,0.77362,0.86536,0.98049,0.70545,0.95705,0.55789,1.11342,1.91208,0.8627,0.000222224,0.000222224,0.000222224
36,184.981,1.08614,0.7817,0.86008,0.98049,0.70545,0.95705,0.55789,1.11342,1.91208,0.8627,0.0002149,0.0002149,0.0002149
