epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.7645,1.81905,3.39415,0.98518,0.0523,0.29632,0.22288,0.12103,1.38004,3.46418,0.88712,0.00022864,0.00022864,0.00022864
2,152.595,1.51475,1.35481,0.90292,0.96999,0.27413,0.35993,0.21451,1.16804,2.20028,0.88468,0.000462233,0.000462233,0.000462233
3,217.406,1.37139,1.04964,0.90278,0.96443,0.30347,0.44916,0.30058,1.1186,1.52984,0.88414,0.000686206,0.000686206,0.000686206
4,307.838,1.34167,0.94897,0.89043,0.95407,0.30027,0.4288,0.25559,1.21421,1.46013,0.89103,0.000900559,0.000900559,0.000900559
5,415.21,1.30421,0.91341,0.89229,0.96039,0.31241,0.45762,0.29021,1.12556,1.36659,0.87771,0.00110529,0.00110529,0.00110529
6,520.004,1.23907,0.87679,0.87802,0.95275,0.31893,0.50746,0.34959,1.0238,1.14159,0.86869,0.00128753,0.00128753,0.00128753
7,589.929,1.19638,0.86355,0.87577,0.81934,0.38853,0.76671,0.52774,0.91824,0.99473,0.85377,0.00125923,0.00125923,0.00125923
8,681.785,1.1535,0.82082,0.86293,0.76326,0.8163,0.79185,0.56498,0.94256,0.81638,0.85511,0.00123094,0.00123094,0.00123094
9,752.637,1.14848,0.80014,0.86698,0.68573,0.84168,0.80692,0.56437,0.89399,0.80705,0.8505,0.00120265,0.00120265,0.00120265
10,829.521,1.10535,0.77384,0.85915,0.82637,0.84221,0.79676,0.59146,0.85504,0.75575,0.84386,0.00117435,0.00117435,0.00117435
11,894.343,1.09862,0.75739,0.85072,0.72974,0.84274,0.80559,0.55185,0.89144,0.7102,0.84246,0.00114606,0.00114606,0.00114606
12,983.012,1.09153,0.75225,0.85508,0.83245,0.84061,0.80854,0.55638,0.87117,0.68137,0.84368,0.00111776,0.00111776,0.00111776
13,1108.3,1.05529,0.73035,0.85487,0.85537,0.83941,0.80969,0.54762,0.85331,0.67545,0.84474,0.00108947,0.00108947,0.00108947
