epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.1006,1.91101,4.0634,1.04159,0.00173,0.00693,0.00217,0.0003,1.41695,3.96812,0.90213,0.00011432,0.00011432,0.00011432
2,137.086,1.64031,2.50058,0.91339,0.06652,0.55364,0.26382,0.13824,1.35939,3.38811,0.89148,0.00023331,0.00023331,0.00023331
3,193.162,1.44623,1.24656,0.88814,0.07837,0.48133,0.29876,0.20262,1.22676,2.49043,0.89264,0.000342114,0.000342114,0.000342114
4,250.658,1.34159,1.03564,0.89018,0.9646,0.30987,0.47482,0.2752,1.15435,2.21534,0.88851,0.000440732,0.000440732,0.000440732
5,306.755,1.27063,0.90114,0.88433,0.97496,0.30212,0.49097,0.29743,1.07356,2.06073,0.87076,0.000529164,0.000529164,0.000529164
6,386.589,1.22812,0.86609,0.86937,0.96356,0.30854,0.77977,0.42348,1.21283,2.00885,0.87876,0.000607411,0.000607411,0.000607411
7,462.548,1.2456,0.86808,0.87991,0.97941,0.29976,0.69269,0.40043,1.05798,1.8676,0.86612,0.000675471,0.000675471,0.000675471
8,532.199,1.166,0.81894,0.86368,0.97128,0.30543,0.61633,0.36919,0.92258,1.50256,0.85015,0.000733346,0.000733346,0.000733346
9,606.422,1.1102,0.79087,0.86083,0.96381,0.31534,0.79061,0.54211,0.98249,1.39517,0.85433,0.000781034,0.000781034,0.000781034
10,703.376,1.10554,0.77187,0.85634,0.80155,0.6337,0.78957,0.50841,0.9786,1.4171,0.86055,0.000818537,0.000818537,0.000818537
11,818.252,1.08403,0.76939,0.85247,0.83715,0.83979,0.79513,0.5568,0.89041,1.23852,0.84948,0.000845854,0.000845854,0.000845854
12,912.783,1.06071,0.74007,0.85111,0.86348,0.50659,0.8035,0.57262,0.84082,1.10742,0.84417,0.000806528,0.000806528,0.000806528
13,1001.07,1.05251,0.727,0.85318,0.7562,0.67394,0.74329,0.53218,0.88232,0.96676,0.8438,0.000749939,0.000749939,0.000749939
14,1084.27,1.06752,0.73513,0.8517,0.82037,0.83421,0.8067,0.59119,0.88178,0.97645,0.84275,0.000693351,0.000693351,0.000693351
15,1160.71,1.05164,0.71669,0.84854,0.80071,0.82405,0.81006,0.59091,0.88047,0.9376,0.84306,0.000636762,0.000636762,0.000636762
16,1223.27,0.98902,0.71885,0.85527,0.80479,0.81434,0.82896,0.57654,0.85943,1.0006,0.84186,0.000580174,0.000580174,0.000580174
17,1286.54,0.979,0.7017,0.85173,0.81463,0.8359,0.82358,0.60788,0.79475,0.75092,0.8372,0.000523586,0.000523586,0.000523586
18,1351.27,0.94748,0.66616,0.84849,0.81196,0.83261,0.82945,0.60996,0.79847,0.67892,0.83706,0.000466997,0.000466997,0.000466997
19,1427.44,0.92435,0.65778,0.84808,0.81263,0.81021,0.82634,0.59247,0.79872,0.73489,0.83683,0.000410409,0.000410409,0.000410409
20,1499.4,0.92072,0.65219,0.8477,0.83738,0.80816,0.83526,0.53876,0.83513,0.70278,0.83966,0.00035382,0.00035382,0.00035382
21,1571.66,0.90235,0.63876,0.84495,0.85069,0.83714,0.83972,0.56416,0.83908,0.64616,0.83948,0.000297232,0.000297232,0.000297232
22,1635.77,0.89447,0.6348,0.84114,0.86751,0.83055,0.85436,0.62099,0.77372,0.64064,0.83292,0.000240644,0.000240644,0.000240644
23,1701.23,0.89766,0.63286,0.84009,0.85784,0.82034,0.85269,0.57043,0.74738,0.61093,0.83039,0.000184055,0.000184055,0.000184055
24,1769.79,0.86745,0.61378,0.84172,0.8315,0.80507,0.85019,0.59853,0.74807,0.57986,0.83058,0.000127467,0.000127467,0.000127467
25,1829.6,0.87796,0.62264,0.83839,0.86919,0.82821,0.85207,0.60023,0.72648,0.56731,0.82995,7.08784e-05,7.08784e-05,7.08784e-05
